bact.trt,Plant,Wt,Block,host.trt,species,n.strains,nodulation,rhiz.strain,rhiz.genus,bact.div
19,B,0.15,E,sten,sten,2,0,B4, B2,meso,1
19,A,0.14,F,sten,sten,2,0,B4, B2,meso,1
19,B,0.08,F,sten,sten,2,0,B4, B2,meso,1
19,B,5.14,E,sal,sal,2,4,B4, B2,meso,1
19,A,0.1,F,sal,sal,2,0,B4, B2,meso,1
19,B,0.15,F,sal,sal,2,4,B4, B2,meso,1
19,B,0.0399,D,sal&sten,sal,2,0,B4, B2,meso,1
19,A,0.06,E,sal&sten,sten,2,0,B4, B2,meso,1
19,B,0.11,E,sal&sten,sal,2,0,B4, B2,meso,1
19,A,0.02,F,sal&sten,sten,2,0,B4, B2,meso,1
19,B,3.17,F,sal&sten,sal,2,0,B4, B2,meso,1
19,B,0.1,D,sal,sal,2,0,B4, B2,meso,1
19,A,0.41,E,sal,sal,2,2,B4, B2,meso,1
19,B,0.08,C,sal,sal,2,0,B4, B2,meso,1
19,A,0.0549,D,sal,sal,2,0,B4, B2,meso,1
19,B,0.08,C,sal&sten,sal,2,0,B4, B2,meso,1
19,A,0.12,D,sal&sten,sten,2,0,B4, B2,meso,1
2,A,4.53,D,sal,sal,1,5,A2,brady,1
2,A,0.58,D,sal&sten,sten,1,3,A2,brady,1
2,A,1.87,A,sal,sal,1,5,A2,brady,1
2,B,3.18,A,sal,sal,1,5,A2,brady,1
2,A,1.86,B,sal,sal,1,5,A2,brady,1
2,B,3.6,B,sal,sal,1,5,A2,brady,1
2,A,0.43,C,sal,sal,1,3,A2,brady,1
2,B,2.84,C,sal,sal,1,5,A2,brady,1
2,A,0.27,A,sal&sten,sten,1,3,A2,brady,1
2,B,3.29,A,sal&sten,sal,1,4,A2,brady,1
2,A,1.02,B,sal&sten,sten,1,2,A2,brady,1
2,B,4.19,B,sal&sten,sal,1,4,A2,brady,1
2,A,0.38,C,sal&sten,sten,1,2,A2,brady,1
2,B,0.09,C,sal&sten,sal,1,1,A2,brady,1
2,A,0.88,A,sten,sten,1,4,A2,brady,1
2,B,0.15,A,sten,sten,1,4,A2,brady,1
2,A,0.55,B,sten,sten,1,3,A2,brady,1
2,B,0.59,B,sten,sten,1,3,A2,brady,1
2,A,0.25,C,sten,sten,1,3,A2,brady,1
2,B,0.21,C,sten,sten,1,2,A2,brady,1
2,A,0.9,D,sten,sten,1,3,A2,brady,1
2,B,0.48,D,sten,sten,1,3,A2,brady,1
2,A,0.62,E,sten,sten,1,3,A2,brady,1
2,B,0.09,E,sten,sten,1,1,A2,brady,1
2,A,0.58,F,sten,sten,1,3,A2,brady,1
2,B,0.1,F,sten,sten,1,1,A2,brady,1
2,B,2.5,E,sal,sal,1,5,A2,brady,1
2,A,3.7,F,sal,sal,1,5,A2,brady,1
2,B,5.55,F,sal,sal,1,5,A2,brady,1
2,A,0.42,F,sal&sten,sten,1,4,A2,brady,1
2,B,3.66,D,sal&sten,sal,1,5,A2,brady,1
2,A,0.52,E,sal&sten,sten,1,3,A2,brady,1
2,B,2.61,E,sal&sten,sal,1,5,A2,brady,1
2,B,1.74,F,sal&sten,sal,1,5,A2,brady,1
2,A,0.2,E,sal,sal,1,2,A2,brady,1
2,B,4.7,D,sal,sal,1,5,A2,brady,1
20,A,0.1,E,sten,sten,2,0,B1, B3,meso,1
20,B,0.18,E,sten,sten,2,0,B1, B3,meso,1
20,B,0.16,B,sten,sten,2,0,B1, B3,meso,1
20,A,0.08,C,sten,sten,2,0,B1, B3,meso,1
20,B,0.12,C,sten,sten,2,0,B1, B3,meso,1
20,A,0.07,D,sten,sten,2,0,B1, B3,meso,1
20,B,0.09,D,sten,sten,2,0,B1, B3,meso,1
20,A,0.42,A,sal&sten,sten,2,2,B1, B3,meso,1
20,B,1.82,A,sal&sten,sal,2,4,B1, B3,meso,1
20,A,0.12,F,sten,sten,2,0,B1, B3,meso,1
20,B,0.08,F,sten,sten,2,0,B1, B3,meso,1
20,B,0.06,E,sal,sal,2,1,B1, B3,meso,1
20,A,0.11,F,sal,sal,2,0,B1, B3,meso,1
20,A,0.16,D,sal&sten,sten,2,0,B1, B3,meso,1
20,B,0.02,D,sal&sten,sal,2,0,B1, B3,meso,1
20,A,0.13,E,sal&sten,sten,2,0,B1, B3,meso,1
20,B,0.09,E,sal&sten,sal,2,0,B1, B3,meso,1
20,A,0.11,F,sal&sten,sten,2,0,B1, B3,meso,1
